"","days_cjs","tag_length"
"1",16.2975227567717,68
"2",16.1231248248557,69
"3",15.9506497493171,70
"4",15.7800763041741,71
"5",15.6113834975112,72
"6",15.4445505688961,73
"7",15.2795569868244,74
"8",15.1163824461945,75
"9",14.955006865808,76
"10",14.7954103858994,77
"11",14.637573365692,78
"12",14.4814763809816,79
"13",14.327100221746,80
"14",14.1744258897817,81
"15",14.0234345963662,82
"16",13.8741077599459,83
"17",13.7264270038503,84
"18",13.5803741540304,85
"19",13.4359312368229,86
"20",13.293080476739,87
"21",13.1518042942764,88
"22",13.0120853037576,89
"23",12.8739063111898,90
"24",12.7372503121502,91
"25",12.6021004896933,92
"26",12.4684402122825,93
"27",12.3362530317432,94
"28",12.2055226812399,95
"29",12.0762330732744,96
"30",11.9483682977066,97
"31",11.8219126197978,98
"32",11.6968504782739,99
"33",11.5731664834121,100
"34",11.4508454151468,101
"35",11.3298722211976,102
"36",11.2102320152176,103
"37",11.0919100749619,104
"38",10.9748918404769,105
"39",10.8591629123088,106
"40",10.7447090497329,107
"41",10.631516169001,108
"42",10.5195703416098,109
"43",10.408857792587,110
"44",10.2993648987975,111
"45",10.191078187267,112
"46",10.0839843335254,113
"47",9.97807015996769,114
"48",9.87332263423315,115
"49",9.76972886760241,116
"50",9.6672761134123,117
"51",9.56595176548811,118
"52",9.46574335659316,119
"53",9.36663855689555,120
"54",9.26862517245175,121
"55",9.17169114370703,122
"56",9.07582454401235,123
