"fit","se.fit","residual.scale","lwr","upr","tag_length"
26.0860740460033,0.274421415391997,1,15.2340893379124,44.6684566461139,76
25.2050994385402,0.263980958950981,1,15.0239208343659,42.2857018957071,77
24.3538769608007,0.253681472184263,1,14.8125585180957,40.0411125665596,78
23.5314018287472,0.243540840822302,1,14.5996233317359,37.9274765823789,79
22.7367031917435,0.233579755426824,1,14.3846861485669,35.9380570900354,80
21.9688429865617,0.223822189069894,1,14.1672608834852,34.0665754754899,81
21.2269148300913,0.214295944135177,1,13.946797240466,32.3071960848908,82
20.5100429494429,0.205033266089914,1,13.7226734970964,30.6545121748325,83
19.8173811481856,0.19607151224023,1,13.4941900265296,29.1035323202324,84
19.1481118074952,0.187453847116583,1,13.2605646961295,27.6496660733729,85
18.5014449210362,0.179229910627123,1,13.0209318912123,26.2887070622922,86
17.8766171624373,0.171456367936478,1,12.7743476979236,25.0168109346433,87
17.27289098426,0.164197200117707,1,12.5198046826456,23.8304646531501,88
16.6895537473965,0.157523535146284,1,12.2562605372377,22.7264428200557,89
16.1259168798703,0.151512761513458,1,11.9826852175036,21.7017463528648,90
15.5813150640443,0.146246637075347,1,11.6981304145177,20.7535196242743,91
15.0551054512793,0.141808144999592,1,11.4018223981651,19.87894498213,92
14.5466669031151,0.13827700567544,1,11.0932737638738,19.0751190761464,93
14.055399258077,0.135724057509599,1,10.772401621284,18.3389234127353,94
13.5807226232456,0.13420513571818,1,10.439631313403,17.6669100117304,95
13.1220766897495,0.133755472027743,1,10.0959598613799,17.0552279343286,96
12.6789200713765,0.134385800289899,1,9.74295645374101,16.4996133298563,97
12.250729665521,0.136081113750997,1,9.38269013613266,15.9954528136571,98
11.8370000357122,0.138802395144428,1,9.01759372576804,15.5379111220179,99
11.4372428149969,0.14249087498472,1,8.6502898517766,15.1220971147381,100
11.0509861294707,0.147073801840964,1,8.28341244770443,14.7432347724756,101
10.6777740412768,0.152470541744831,1,7.91945291370182,14.396809946215,102
10.3171660104169,0.158598039678719,1,7.56064839597315,14.0786753875759,103
9.9687363747374,0.165375087174174,1,7.20891649793632,13.7851097231409,104
9.63207384747671,0.172725243967874,1,6.86583097636,13.512835798418,105
9.30678103178234,0.180578541160407,1,6.53262815962333,13.2590086343653,106
8.99247395162302,0.188872227522849,1,6.21023311545014,13.0211839503157,107
8.68878159854291,0.197550844870954,1,5.89929626216248,12.797276541508,108
8.39534549372278,0.206565881662427,1,5.60023362895015,12.5855152889727,109
8.11181926483123,0.215875194968498,1,5.31326638464986,12.3843991664693,110
7.8378682371663,0.2254423325739,1,5.038457164269,12.1926567003162,111
7.57316903860512,0.235235839123204,1,4.77574205678945,12.0092100044958,112
7.31740921789501,0.245228595146646,1,4.52495796160425,11.8331436703893,113
7.07028687583567,0.255397214012136,1,4.28586550343308,11.6636783087504,114
6.83151030891701,0.265721506752251,1,4.0581679364359,11.5001483013606,115
6.60079766499196,0.276184015747066,1,3.84152655973077,11.3419832289841,116
