"","fit","lower","higher","tag_length"
"1",25.9271415213899,15.8448741838876,42.4248662165928,68
"2",25.4068062261367,15.824422718178,40.7917441355347,69
"3",24.8969136100066,15.799890667219,39.2316833299479,70
"4",24.3972540974658,15.7707694301367,37.7423568414413,71
"5",23.90762231898,15.7364742267038,36.3216306723311,72
"6",23.4278170266039,15.6963323049923,34.9675707653986,73
"7",22.9576410112642,15.6495699558899,33.6784513751906,74
"8",22.4969010217032,15.5952987136541,32.4527644435048,75
"9",22.0454076850486,15.5325015192943,31.2892291944279,76
"10",21.6029754289778,15.460020235194,30.1868005529918,77
"11",21.1694224054441,15.3765467888044,29.144674102407,78
"12",20.7445704159339,15.2806214286906,28.1622840896801,79
"13",20.3282448382234,15.1706430517574,27.2392895141571,80
"14",19.9202745546058,15.0448980738226,26.3755418204738,81
"15",19.5204918815586,14.9016153085757,25.571026724781,82
"16",19.1287325008224,14.7390537923504,24.8257732309742,83
"17",18.7448353918634,14.5556270741636,24.1397263118769,84
"18",18.3686427656901,14.3500599647016,23.5125872563248,85
"19",18,14.1215621870496,22.9436372342098,86
"20",17.638755575626,13.8699905852848,22.4315724184243,87
"21",17.2847610142599,13.5959633871649,21.974387162746,88
"22",16.9378708174245,13.3008931216908,21.5693386303438,89
"23",16.5979424066711,12.986921767367,21.2130092927344,90
"24",16.2648360649772,12.6567673590534,20.9014580671227,91
"25",15.93841487932,12.3135143749581,20.630427766581,92
"26",15.6185446844026,11.9603906285757,20.3955661344257,93
"27",15.3050940075095,11.6005685728965,20.192622551794,94
"28",14.9979340144688,11.2370142408813,20.0175971908992,95
"29",14.6969384566991,10.8723906933729,19.8668357394165,96
"30",14.4019836193185,10.5090107166963,19.7370749505074,97
"31",14.1129482702961,10.1488274287154,19.6254503566097,98
"32",13.8297136106226,9.79345031354997,19.5294786238121,99
"33",13.5521632254823,9.44417591520926,19.4470253137004,100
"34",13.2801830364039,9.10202517096145,19.3762660691213,101
"35",13.0136612543724,8.76778205839382,19.315646547284,102
"36",12.7524883338816,8.44203039020102,19.2638442636446,103
"37",12.4965569279089,8.12518712552641,19.2197339753392,104
"38",12.2457618437934,7.81753156161083,19.1823572380957,105
"39",12,7.51923036180136,19.150896178356,106
"40",11.7591703837507,7.23035869472423,19.1246512036777,107
"41",11.5231740095066,6.95091790518121,19.1030222288184,108
"42",11.291913878283,6.6808501807,19.0854929516172,109
"43",11.0652949377807,6.4200506648901,19.071617725648,110
"44",10.8432240433181,6.16837742846707,19.0610106169868,111
"45",10.6256099195467,5.92565965784969,19.0533362834644,112
"46",10.4123631229351,5.69170436893215,19.0483023671517,113
"47",10.2033960050063,5.46630190473611,19.0456531397904,114
"48",9.99862267631255,5.249230432223,19.0451641843687,115
"49",9.79795897113272,5.0402596161727,19.0466379334835,116
"50",9.60132241287902,4.83915361650677,19.0498999167129,117
"51",9.40863218019739,4.6456735291883,19.0547955955297,118
"52",9.21980907374841,4.45957936916968,19.0611876860037,119
"53",9.03477548365485,4.28063167608466,19.0689538873646,120
"54",8.85345535760258,4.10859280884441,19.0779849490872,121
"55",8.6757741695816,3.94322798343229,19.0881830210748,122
"56",8.50165888925443,3.78430609851359,19.0994602412391,123
